AN EXAMPLE CHANGE meeting	sequence	date	type	speaker	statement	newcode	mem_num
201601	61	2016-01-27	meeting	YELLEN	Without objection.	51.0	65.0
201601	62	2016-01-27	meeting	YELLEN	And now we’re ready to move on to item 2.	51.0	65.0
201601	63	2016-01-27	meeting	YELLEN	We need to select a Federal Reserve Bank to execute transactions for the System Open Market Account, and the floor is open for nominations.	51.0	65.0
201601	64	2016-01-27	meeting	YELLEN	Did I see President Bullard?	51.0	65.0
201601	65	2016-01-27	meeting	BULLARD	Yes.	51.0	94.0
201601	66	2016-01-27	meeting	BULLARD	I’ll nominate the Federal Reserve Bank of New York.	51.0	94.0
201601	67	2016-01-27	meeting	YELLEN	And are there further nominations or discussion?	51.0	65.0
201601	68	2016-01-27	meeting	YELLEN	[No response]	51.0	65.0
201601	69	2016-01-27	meeting	YELLEN	Okay.	51.0	65.0
201601	70	2016-01-27	meeting	YELLEN	Thank you very much.	51.0	65.0
201601	71	2016-01-27	meeting	YELLEN	I need a motion to approve.	51.0	65.0
201601	72	2016-01-27	meeting	FISCHER	So moved.	51.0	108.0
201601	73	2016-01-27	meeting	YELLEN	Thank you.	51.0	65.0
201601	74	2016-01-27	meeting	YELLEN	Without objection.	51.0	65.0
201601	75	2016-01-27	meeting	YELLEN	Next we’re up to item 3, to select a manager and deputy manager of the System Open Market Account.	51.0	65.0
201601	76	2016-01-27	meeting	YELLEN	I’d like to ask Vice Chairman Dudley to make these nominations.	51.0	65.0
201601	77	2016-01-27	meeting	DUDLEY	I’d like to nominate Simon Potter as Manager of the System Open Market Account and Lorie Logan as Deputy Manager of the System Open Market Account.	51.0	96.0
201601	78	2016-01-27	meeting	YELLEN	Do I have a motion?	51.0	65.0
201601	79	2016-01-27	meeting	FISCHER	So moved.	51.0	108.0
201601	80	2016-01-27	meeting	YELLEN	Thank you.	51.0	65.0
201601	81	2016-01-27	meeting	YELLEN	Without objection.	51.0	65.0
201601	82	2016-01-27	meeting	YELLEN	Now we’re going to move on to item 4, which concerns authorization for domestic open market operations and foreign currency operations, and I’d like to ask Simon to introduce this item.	64.0	65.0
201601	83	2016-01-27	meeting	POTTER	I was having problems saying “Thank you, Madam Chair” at the start of this, which I’ve gotten through.	64.0	999.0
201601	84	2016-01-27	meeting	YELLEN	Well done.	64.0	65.0
201601	85	2016-01-27	meeting	POTTER	As part of the annual review of the Committee’s authorization for domestic open market operations, and as discussed in the memo titled “Request for Votes on the Authorization for Desk Operations” that you received before the meeting, the Desk recommends approval, with one minor change to ensure consistency in the use of terms “repo” and “reverse repo” transactions.	64.0	999.0
201601	86	2016-01-27	meeting	POTTER	That would be on page 44 of the organizational document.	64.0	999.0
201601	87	2016-01-27	meeting	POTTER	I’d also like to highlight another item for the Committee’s consideration.	64.0	999.0
201601	88	2016-01-27	meeting	POTTER	In January 2009, the Committee suspended the Guidelines for the Conduct of System Open Market Operations in Federal-Agency Issues in light of the Federal Reserve’s having begun a program of purchases of agency debt and agency mortgage-backed securities.	64.0	999.0
201601	89	2016-01-27	meeting	POTTER	The SOMA contains a significant amount of agency debt and agency MBS, and it continues to conduct transactions in agency MBS as part of the reinvestment policy adopted by the Committee.	64.0	999.0
201601	90	2016-01-27	meeting	POTTER	That being the case, I recommend the continued suspension of these guidelines.	64.0	999.0
201601	91	2016-01-27	meeting	POTTER	No Committee vote is needed to continue the suspension.	64.0	999.0
201601	92	2016-01-27	meeting	YELLEN	Are there questions for Simon?	64.0	65.0
201601	93	2016-01-27	meeting	YELLEN	[No response]	64.0	65.0
201601	94	2016-01-27	meeting	YELLEN	Hearing none, we need a motion to approve the proposals.	64.0	65.0
201601	95	2016-01-27	meeting	FISCHER	So moved.	64.0	108.0
201601	96	2016-01-27	meeting	DUDLEY	Second.	64.0	96.0
201601	97	2016-01-27	meeting	YELLEN	Without objection.	64.0	65.0
201601	98	2016-01-27	meeting	YELLEN	Okay.	64.0	65.0
201601	99	2016-01-27	meeting	YELLEN	We’re now ready to move on to item 5, “Proposed Revisions to the Program for Security of FOMC Information.”	64.0	65.0
201601	100	2016-01-27	meeting	POTTER	Excuse me.	64.0	999.0
201601	101	2016-01-27	meeting	POTTER	Can we do the foreign authorization?	64.0	999.0
201601	102	2016-01-27	meeting	YELLEN	Oh, I’m sorry.	64.0	65.0
201601	103	2016-01-27	meeting	YELLEN	I apologize.	64.0	65.0
201601	104	2016-01-27	meeting	POTTER	We also recommend that the Committee approve the documents governing foreign transactions without amendment.	64.0	999.0
201601	105	2016-01-27	meeting	POTTER	As I mentioned at the December FOMC meeting, the staff is evaluating the current foreign exchange reserve management framework and working on modernizing the documents related to foreign operations.	64.0	999.0
201601	106	2016-01-27	meeting	POTTER	I plan to defer recommending any changes to the documents governing foreign operations until these projects are complete.	64.0	999.0
201601	107	2016-01-27	meeting	POTTER	Note that the approval of the “foreign” documents includes approval of the System’s warehousing agreement with the Treasury.	64.0	999.0
201601	108	2016-01-27	meeting	POTTER	As has been the case since February 5, 1997, the limit on warehousing is set at $5 billion.	64.0	999.0
201601	109	2016-01-27	meeting	POTTER	There are currently no outstanding balances.	64.0	999.0
201601	110	2016-01-27	meeting	YELLEN	Are there questions for Simon on the foreign currency matters?	64.0	65.0
201601	111	2016-01-27	meeting	YELLEN	Comments?	64.0	65.0
201601	112	2016-01-27	meeting	YELLEN	[No response]	64.0	65.0
201601	113	2016-01-27	meeting	YELLEN	Then we need a motion to approve that proposal.	64.0	65.0
201601	114	2016-01-27	meeting	FISCHER	So moved.	64.0	108.0
201601	115	2016-01-27	meeting	DUDLEY	Second.	64.0	96.0
201601	116	2016-01-27	meeting	YELLEN	Okay.	64.0	65.0
201601	117	2016-01-27	meeting	YELLEN	Thank you.	64.0	65.0
201601	118	2016-01-27	meeting	YELLEN	Without objection.	64.0	65.0
201601	119	2016-01-27	meeting	YELLEN	Now, item 5—I’d like to turn to “Proposed Revisions to the Program for Security of FOMC Information.”	66.0	65.0
201601	120	2016-01-27	meeting	YELLEN	The staff is proposing three sets of relatively minor changes to the program.	66.0	65.0
201601	121	2016-01-27	meeting	YELLEN	The first is to clarify that all Federal Reserve persons—and that includes FOMC participants as well as staff members—must receive, review, and agree to abide by the program.	66.0	65.0
201601	122	2016-01-27	meeting	YELLEN	Second, there are some proposed changes to provide more flexibility in making FOMC information access decisions for persons at the Board.	66.0	65.0
201601	123	2016-01-27	meeting	YELLEN	And, third, there are some technical changes, such as making program language more consistent and correcting a typo.	66.0	65.0
201601	124	2016-01-27	meeting	YELLEN	There is also a slightly more substantive change that I would like to propose, and I sent you a memo on this.	66.0	65.0
201601	125	2016-01-27	meeting	YELLEN	As you know, our program for security of FOMC information has received some attention from the Congress and others as a consequence of the 2012 leak of FOMC information.	66.0	65.0
201601	126	2016-01-27	meeting	YELLEN	Protecting confidential FOMC information is clearly a matter of the utmost importance, and it’s appropriate that we continually review our program to ensure that our policies and practices remain strong and transparent.	66.0	65.0
201601	127	2016-01-27	meeting	YELLEN	The proposed changes to section 7 of the program are intended to clarify our procedures in the event of a potential breach of confidential FOMC information.	66.0	65.0
201601	128	2016-01-27	meeting	YELLEN	To date, our program has stated that, once notified of a potential breach, the Committee’s secretary and general counsel will perform a review of the incident and, in light of the review results, the general counsel will determine whether to request the Board’s inspector general to perform an investigation of the incident.	66.0	65.0
201601	129	2016-01-27	meeting	YELLEN	Now, during my tenure as Chair, all potential material breaches have been referred to the inspector general, with only minimal review by the secretary and general counsel.	66.0	65.0
201601	130	2016-01-27	meeting	YELLEN	I believe that that approach is fully consistent with the program, and the proposed revisions are meant to codify this practice.	66.0	65.0
201601	131	2016-01-27	meeting	YELLEN	In addition, the revised language states that the secretary or the general counsel will make a referral to the inspector general, thereby vesting that responsibility in more than one person and reducing the possibility of any apparent conflict of interest in making a referral determination.	66.0	65.0
201601	132	2016-01-27	meeting	YELLEN	So I would like to propose those changes.	66.0	65.0
201601	133	2016-01-27	meeting	YELLEN	And, before we go to a vote, let me ask whether there are any comments or questions on that proposal or other changes to the organizational documents proposed by the staff.	66.0	65.0
201601	134	2016-01-27	meeting	YELLEN	President George.	66.0	65.0
201601	135	2016-01-27	meeting	GEORGE	Madam Chair, I support what you’ve proposed here, but I noted in the strikeouts that the previous version, at some level, offered consultation with the president of the relevant Reserve Bank in the event of a breach.	66.0	103.0
201601	136	2016-01-27	meeting	GEORGE	And if the breach emanated from a Reserve Bank, I just wondered, as a practical matter, even though you’re striking through that in favor of this stronger process, whether there would be such consultation.	66.0	103.0
201601	137	2016-01-27	meeting	YELLEN	I think there could be such consultation.	66.0	65.0
201601	138	2016-01-27	meeting	YELLEN	I do think our default response should be that any material breach will be referred to the inspector general.	66.0	65.0
201601	139	2016-01-27	meeting	GEORGE	I agree.	66.0	103.0
201601	140	2016-01-27	meeting	YELLEN	That should be the default.	66.0	65.0
201601	141	2016-01-27	meeting	YELLEN	It shouldn’t be a specific judgment that we’re making once something has been determined to be material.	66.0	65.0
201601	142	2016-01-27	meeting	YELLEN	It should be turned over to the IG.	66.0	65.0
201601	143	2016-01-27	meeting	YELLEN	There could certainly continue to be consultation.	66.0	65.0
201601	144	2016-01-27	meeting	YELLEN	But I do think it’s important to make clear that our policy will be to turn any material matter over to the IG.	66.0	65.0
201601	145	2016-01-27	meeting	GEORGE	And I support that.	66.0	103.0
201601	146	2016-01-27	meeting	GEORGE	I’m thinking, as a practical matter, with employment and code of conduct issues within the Banks, we would have some follow-up if it involves the staff in a Reserve Bank as well.	66.0	103.0
201601	147	2016-01-27	meeting	YELLEN	Other questions or comments?	66.0	65.0
201601	148	2016-01-27	meeting	YELLEN	[No response]	66.0	65.0
201601	149	2016-01-27	meeting	YELLEN	Okay.	66.0	65.0
201601	150	2016-01-27	meeting	YELLEN	Then I guess we need just one motion to approve the organizational document.	66.0	65.0
201601	151	2016-01-27	meeting	MADIGAN	I would vote on this program explicitly.	66.0	999.0
201601	152	2016-01-27	meeting	YELLEN	Okay.	66.0	65.0
201601	153	2016-01-27	meeting	YELLEN	We’ll vote explicitly on the changes to “The Program for Security of FOMC Information.”	66.0	65.0
201601	154	2016-01-27	meeting	YELLEN	Do I have a motion?	66.0	65.0
201601	155	2016-01-27	meeting	FISCHER	So moved.	66.0	108.0
201601	156	2016-01-27	meeting	YELLEN	Without objection.	66.0	65.0
201601	157	2016-01-27	meeting	YELLEN	Thank you very much.	66.0	65.0
201601	158	2016-01-27	meeting	YELLEN	Our next agenda item, is “Proposed Change to the Statement on Longer-Run Goals and Monetary Policy Strategy.”	92.0	65.0
201601	159	2016-01-27	meeting	YELLEN	Before I turn things over to Governor Fischer, I would like to extend my thanks to the subcommittee on communications and to the staff who have supported their work on this topic.	92.0	65.0
201601	160	2016-01-27	meeting	YELLEN	I think they are proposing potential enhancements to what is a very important document of this Committee.	92.0	65.0
201601	161	2016-01-27	meeting	YELLEN	So let me turn things over to Governor Fischer to introduce this topic.	92.0	65.0
201601	162	2016-01-27	meeting	FISCHER	Thank you, Madam Chair.	92.0	108.0
201601	163	2016-01-27	meeting	FISCHER	At the October 2014 FOMC meeting, we discussed the possibility of amending the Statement on Longer-Run Goals and Monetary Policy Strategy, which is shortened to the “consensus statement,” in order to clarify that the Committee’s inflation objective is symmetric.	92.0	108.0
201601	164	2016-01-27	meeting	FISCHER	At that time, there was widespread agreement that inflation moderately above the Committee’s 2 percent goal and inflation the same amount below that level were equally costly.	92.0	108.0
201601	165	2016-01-27	meeting	FISCHER	Although many participants thought that the symmetry of the objective was understood by the public, it nonetheless seemed useful to clarify that symmetry in the consensus statement.	92.0	108.0
201601	166	2016-01-27	meeting	FISCHER	However, some members thought that making a change to the consensus statement at that time posed a risk that the change could be seen as signaling a change in the Committee’s views about the appropriate timing of liftoff.	92.0	108.0
201601	167	2016-01-27	meeting	FISCHER	In order to avoid such confusion, the change was deferred until after liftoff.	92.0	108.0
201601	168	2016-01-27	meeting	FISCHER	With liftoff now behind us, the Committee thought that this would be an appropriate time to make the modification.	92.0	108.0
201601	169	2016-01-27	meeting	FISCHER	To do so, we have worked with all of you to develop specific language, which is shown in blue ink on page 4 of the handout, that has received broad support.	92.0	108.0
201601	170	2016-01-27	meeting	FISCHER	The modified wording makes clear that a sequence of one-sided misses of the 2 percent target in either direction would be undesirable.	92.0	108.0
201601	171	2016-01-27	meeting	FISCHER	Even if inflation was ultimately expected to return to target, persistent misses would represent a welfare loss and might cause inflation expectations to become unanchored over time.	92.0	108.0
201601	172	2016-01-27	meeting	FISCHER	Regarding the specific wording, we use the words “were running” in order to be clear that the deviations are ongoing.	92.0	108.0
201601	173	2016-01-27	meeting	FISCHER	That is, they are not simply :bygones” but are expected to continue, at least for a time.	92.0	108.0
201601	174	2016-01-27	meeting	FISCHER	I think this wording is appropriate because expected future deviations would be a greater concern if they followed a sequence of past deviations in the same direction, as the expected deviations would be more likely to have an effect on longer-term inflation expectations.	92.0	108.0
201601	175	2016-01-27	meeting	FISCHER	That said, the word “concerned” was chosen because it provides flexibility regarding whether the Committee would take action in response to the deviations.	92.0	108.0
201601	176	2016-01-27	meeting	FISCHER	It might do so, of course, but a policy response would not necessarily be called for.	92.0	108.0
201601	177	2016-01-27	meeting	FISCHER	For example, if inflation was running above 2 percent but unemployment was above the level consistent with maximum employment, then the Committee might judge that no change in policy was appropriate.	92.0	108.0
201601	178	2016-01-27	meeting	FISCHER	Similarly, if inflation was running below 2 percent but the economy was strengthening and inflation was expected to return to 2 percent over the medium term, then the Committee also might see unchanged policy as appropriate.	92.0	108.0
201601	179	2016-01-27	meeting	FISCHER	As we noted in the memo, we have also updated the reference to the SEP estimates of the longer-run normal unemployment rate.	92.0	108.0
201601	180	2016-01-27	meeting	FISCHER	In doing so, we changed the reference from the central tendency to the median, a change consistent with the outcome of the Committee’s discussion last July.	92.0	108.0
201601	181	2016-01-27	meeting	FISCHER	In view of the timing of the Chair’s monetary policy testimony, we plan to release the updated statement following our meeting tomorrow along with the usual postmeeting statement.	92.0	108.0
201601	182	2016-01-27	meeting	FISCHER	A draft of the short cover note that would be used for that press release is on page 5 of 5 of the memo from the subcommittee to the FOMC.	92.0	108.0
201601	183	2016-01-27	meeting	FISCHER	Thank you, Madam Chair.	92.0	108.0
201601	184	2016-01-27	meeting	YELLEN	Thank you.	92.0	65.0
201601	185	2016-01-27	meeting	YELLEN	We now have an opportunity for comments on the consensus statement.	92.0	65.0
201601	186	2016-01-27	meeting	YELLEN	Let me start with President Williams.	92.0	65.0
201601	187	2016-01-27	meeting	WILLIAMS	Thank you, Madam Chair.	92.0	102.0
201601	188	2016-01-27	meeting	WILLIAMS	Governor Fischer has explained the process that we went through in the subcommittee on this as well as the reasons for the change, and I strongly support the change in the language.	92.0	102.0
201601	189	2016-01-27	meeting	WILLIAMS	I just want to add one particular comment that I think is relevant for thinking about what we are trying to accomplish here.	92.0	102.0
201601	190	2016-01-27	meeting	WILLIAMS	This part of the consensus statement is really just about our longer-run inflation objective.	92.0	102.0
201601	191	2016-01-27	meeting	WILLIAMS	It doesn’t shed light on what the policy responses are to deviations from the objective, or to the shape of the objective beyond the fact that it is a symmetric objective.	92.0	102.0
201601	192	2016-01-27	meeting	WILLIAMS	I think one of the great achievements of the consensus statement over the years is that it has provided the biggest umbrella we are able to provide with regard to what we agree on—the 2 percent objective, and the view that this is symmetric—and leaves off of the consensus statement the particulars of how one thinks about the appropriate policy response and other things that we may have different views on.	92.0	102.0
201601	193	2016-01-27	meeting	WILLIAMS	I think the goal here, really, is just to cement in the public’s mind that the goal is 2 percent, that it is the midpoint of the target, and that it is symmetric around that.	92.0	102.0
201601	194	2016-01-27	meeting	WILLIAMS	And the rest of the statement, which stays basically the same as before, describes our policy strategy on deviations from that objective and doesn’t indicate specifically what we do in those circumstances but lays out a general strategy.	92.0	102.0
201601	195	2016-01-27	meeting	WILLIAMS	So, again, I strongly support the statement.	92.0	102.0
201601	196	2016-01-27	meeting	WILLIAMS	I think it is something that will help clarify our thinking for those who may still think that our 2 percent objective is somehow a ceiling and not a point target.	92.0	102.0
201601	197	2016-01-27	meeting	WILLIAMS	Thank you.	92.0	102.0
201601	198	2016-01-27	meeting	YELLEN	Thank you very much.	92.0	65.0
201601	199	2016-01-27	meeting	YELLEN	President Mester.	92.0	65.0
201601	200	2016-01-27	meeting	MESTER	Thank you, Madam Chair.	92.0	999.0
201601	201	2016-01-27	meeting	MESTER	The FOMC Statement on Longer-Run Goals and Monetary Policy Strategy was first introduced in January 2012.	92.0	999.0
201601	202	2016-01-27	meeting	MESTER	It serves to clarify the Committee’s decisionmaking framework, and I do view the statement as an important addition to our communications arsenal.	92.0	999.0
201601	203	2016-01-27	meeting	MESTER	It is known internally as the consensus statement.	92.0	999.0
201601	204	2016-01-27	meeting	MESTER	That is not a misnomer.	92.0	999.0
201601	205	2016-01-27	meeting	MESTER	The statement has had very broad support among FOMC participants since its adoption.	92.0	999.0
201601	206	2016-01-27	meeting	MESTER	Of course, it wasn’t by accident that that happened.	92.0	999.0
201601	207	2016-01-27	meeting	MESTER	The previous communications subcommittee and its chair, Janet Yellen, worked diligently to devise language that would encompass the diversity of views among participants while at the same time articulate to the public the Committee’s approach to policymaking.	92.0	999.0
201601	208	2016-01-27	meeting	MESTER	Due to the quasi-constitutional nature of the document and the fact that it has had very broad support, participants have generally agreed that the bar should be fairly high for making any changes.	92.0	999.0
201601	209	2016-01-27	meeting	MESTER	At the same time, the Committee has periodically considered amendments that could help clarify the document or make it a more effective communications device.	92.0	999.0
201601	210	2016-01-27	meeting	MESTER	And one of those changes, which is on the table today—the clarification that the Committee views a 2 percent inflation objective as symmetric—has received widespread support at previous meetings and, as Governor Fischer said, with the thought that the change would wait until after normalization had begun.	92.0	999.0
201601	211	2016-01-27	meeting	MESTER	Consistent with those past discussions, I strongly support making the change now.	92.0	999.0
201601	212	2016-01-27	meeting	MESTER	The change has been signaled with the minutes of earlier meetings.	92.0	999.0
201601	213	2016-01-27	meeting	MESTER	And, now that liftoff has occurred, it sounds like the right time to do it.	92.0	999.0
201601	214	2016-01-27	meeting	MESTER	Moreover, January is the normal time for reaffirming the consensus statement.	92.0	999.0
201601	215	2016-01-27	meeting	MESTER	So I am not concerned that the change will be interpreted as a comment or signal about current monetary policy.	92.0	999.0
201601	216	2016-01-27	meeting	MESTER	And we can contain that interpretation by what we say about the change after it is released, explaining that the purpose is to clarify the framework in the interest of furthering transparency.	92.0	999.0
201601	217	2016-01-27	meeting	MESTER	In terms of the specific language, I can tell you that the communications subcommittee and staff, under the able leadership of our chair, Stan Fischer, took a page out of the previous subcommittee’s book and strove to craft language that would represent the broad consensus.	92.0	999.0
201601	218	2016-01-27	meeting	MESTER	We did engage in deliberations and consultations, and we took the comments and suggestions of each FOMC participant very seriously.	92.0	999.0
201601	219	2016-01-27	meeting	MESTER	Our deliberations suggest that the language now on the table is acceptable to almost all participants, and I want to acknowledge the willingness of many Committee members to compromise on their favorite phraseology in the spirit of reaching a workable consensus in the pursuit of our common goal of clarifying to the public this aspect of our policymaking framework.	92.0	999.0
201601	220	2016-01-27	meeting	MESTER	With regard to the specific wording, the broad intent is to clarify that the Committee views the 2 percent inflation objective as symmetric.	92.0	999.0
201601	221	2016-01-27	meeting	MESTER	As Governor Fischer said, the phrase “were running” captures the idea that the primary concern is with deviations from target that are expected to persist into the future.	92.0	999.0
201601	222	2016-01-27	meeting	MESTER	It allows for different preferred models of the inflation progress among participants.	92.0	999.0
201601	223	2016-01-27	meeting	MESTER	Some might put more weight on current and past deviations from the target as informative about future inflation.	92.0	999.0
201601	224	2016-01-27	meeting	MESTER	Others who view inflation expectations as a predominant factor when forecasting inflation might look at persistent deviations as a potential risk for unanchoring expectations.	92.0	999.0
201601	225	2016-01-27	meeting	MESTER	As was said earlier, the word “concerned” is consistent with the Committee’s past behavior.	92.0	999.0
201601	226	2016-01-27	meeting	MESTER	Concern about persistent deviations doesn’t mean that they necessarily warrant Committee action.	92.0	999.0
201601	227	2016-01-27	meeting	MESTER	For example, I am concerned by the low level of inflation, but, on the basis of the outlook, I think a reasonable forecast is that inflation will return to target over the medium term, and I don’t believe additional policy accommodation is called for.	92.0	999.0
201601	228	2016-01-27	meeting	MESTER	A look at the minutes of the FOMC meetings in late 2006 and early 2007, when core inflation was above 2 percent, shows that the Committee was indeed concerned about elevated core inflation but held the funds rate target at 5¼ percent because it expected inflation to move lower over time.	92.0	999.0
201601	229	2016-01-27	meeting	MESTER	The proposed wording clarifies the nature of the inflation target.	92.0	999.0
201601	230	2016-01-27	meeting	MESTER	How policymakers approach setting policy in order to promote achieving the symmetric inflation goal and our other dual-mandate goal of maximum employment is discussed later in the consensus statement.	92.0	999.0
201601	231	2016-01-27	meeting	MESTER	I don’t feel that the proposed wording constrains or changes in any way the ability of the Committee to chart the appropriate course of policy in pursuit of our goals.	92.0	999.0
201601	232	2016-01-27	meeting	MESTER	Again, we might all think of alternative wordings that we might individually prefer in one way or the other.	92.0	999.0
201601	233	2016-01-27	meeting	MESTER	But this statement is meant to be a consensus statement giving the Committee’s policymaking principles, and the specific wording proposed has been developed with that in mind.	92.0	999.0
201601	234	2016-01-27	meeting	MESTER	In supporting this change, I feel comfortable that I can explain my own approach to monetary policymaking within the context of this statement.	92.0	999.0
201601	235	2016-01-27	meeting	MESTER	I hope that others will approach it in this way, too, and I hope that they will support it as well.	92.0	999.0
